,小区分,succeed,normal,diff,diff_abs,pvalue
I0999,その他の商品データ,0.0,0.0,0.0,0.0,
I1001,拡張現実（AR),0.0,0.0,0.0,0.0,
I1002,仮想現実（VR),0.0,0.0,0.0,0.0,
I1098,拡張・仮想現実に関し非限定,0.0,0.0,0.0,0.0,
I1099,その他の拡張・仮想現実,0.0,0.0,0.0,0.0,
I9998,入出力情報に関し非限定,0.0,0.0,0.0,0.0,
I9999,その他の入出力情報,0.134328358209,0.0277777777778,0.106550580431,0.106550580431,0.0716343047878
J0101,住宅,0.0149253731343,0.0,0.0149253731343,0.0149253731343,0.460899227326
J0102,園庭,0.0,0.0,0.0,0.0,
J0198,日常生活の場に関し非限定,0.0,0.0,0.0,0.0,
J0199,その他の日常生活の場,0.0,0.0,0.0,0.0,
J0201,オフィス,0.0,0.0,0.0,0.0,
J0202,学校,0.0149253731343,0.0,0.0149253731343,0.0149253731343,0.460899227326
J0203,工場,0.0,0.0,0.0,0.0,
J0204,工事現場,0.0,0.0,0.0,0.0,
J0205,倉庫,0.0,0.0,0.0,0.0,
J0206,店舗,0.0,0.0,0.0,0.0,
J0298,作業場に関し非限定,0.0,0.0,0.0,0.0,
J0299,その他の作業場,0.0,0.0,0.0,0.0,
J0301,山林,0.0,0.0,0.0,0.0,
J0302,農場,0.0,0.0,0.0,0.0,
J0303,牧場,0.0,0.0,0.0,0.0,
J0304,漁場,0.0,0.0,0.0,0.0,
J0305,港,0.0,0.0,0.0,0.0,
J0398,農・林・水産業フィールドに関し非限定,0.0,0.0,0.0,0.0,
J0399,その他の農・林・水産業フィールド,0.0,0.0,0.0,0.0,
J0401,医療施設（病院、医院など）,0.0223880597015,0.0,0.0223880597015,0.0223880597015,0.36504902234
J0402,介護施設（デイセンター、リハビリセンターなど）,0.0,0.0,0.0,0.0,
J0403,スポーツ施設（競技場、練習場、フィットネスクラブなど）,0.0,0.333333333333,-0.333333333333,0.333333333333,4.13569733542e-12
J0404,映画・公演上,0.0,0.0,0.0,0.0,
J0405,美術館・博物館,0.0,0.0,0.0,0.0,
J0406,ショッピング施設（デパート、モール、スーパー、商店街など）,0.0,0.0,0.0,0.0,
J0407,観光地・景勝地,0.0,0.0,0.0,0.0,
J0408,自然環境（海、山、川、熱帯・寒冷地など）,0.0,0.0,0.0,0.0,
J0498,訪問地に関し非限定,0.0,0.0,0.0,0.0,
J0499,その他の訪問地,0.0,0.0,0.0,0.0,
J0501,駅,0.0,0.0,0.0,0.0,
J0502,空港,0.0,0.0,0.0,0.0,
J0503,航空機,0.0,0.0,0.0,0.0,
J0504,自転車,0.0,0.0,0.0,0.0,
J0505,自動車,0.0,0.0,0.0,0.0,
J0506,鉄道,0.0,0.0,0.0,0.0,
J0507,船,0.0,0.0,0.0,0.0,
J0508,路上,0.0,0.0,0.0,0.0,
J0598,移動過程に関し非限定,0.0,0.0,0.0,0.0,
J0599,その他の移動過程,0.0,0.0,0.0,0.0,
J9998,利用環境・場面に関し非限定,0.044776119403,0.277777777778,-0.233001658375,0.233001658375,2.13044635887e-05
J9999,その他の利用環境・場面,0.0223880597015,0.0277777777778,-0.00538971807629,0.00538971807629,0.849769021265
